VRP_Keywords,Human_Keywords,Heuristic_Keywords
dynamic service routing,multi-criteria,routing and scheduling model
road–rail intermodal routing,fuzzy multi-attribute decision-making (fuzzy madm),fuzzy multi-attribute decision-making (fuzzy madm)
bi-objective optimization problem,preference learning,preference learning
two-echelon vrp,"multi-criteria decision making, analytical hierarchy process",data-driven
capacitated vehicle routing problem with time windows,multi-objective transportation,simulation-based optimization
location problem,real-time decision-making,hybrid models
vehicle routing problem with route balancing,multi-criteria routing,hybrid metaheuristics
production routing problem,multi-criteria decision-making (mcdm),heuristic algorithm
unmanned ground vehicle,risk preference,reinforcement learning-assisted evolutionary computing
p-hub location routing,technique for order preference by similarity to ideal solution,simulation model
real life vehicle routing,the pareto set,simulated annealing algorithm learning
network design problem,multi-attribute decision making,agentic intelligence
maritime routing,collaborative decision attention network,bilevel optimization model
inventory-routing problem,multi-criteria vehicle routing problem,hybrid genetic algorithm
non-ambulatory vehicle,multi-objective vehicle routing,hybrid transportation
location-inventory-routing problem,partial observation markov decision process,hybrid ai
autonomous aerial vehicle,decision support,hybrid optimization technique
robust aircraft maintenance routing problem (ramrp),the vehicle routing problem (vrp),predictive model
the vehicle routing problem (vrp),multi-agent decision,fuzzy
green vehicle routing problem with time windows (gvrptw),data-driven decision making,reinforcement learning (rl) and deep reinforcement learning (drl)
capacitated arc routing problem,integrated decision making,location routing model
traveling salesman problem,the ant colony algorithm,data-driven solution approach
routing optimization,multi-objective decision making,offline reinforcement learning
drone-based cooperative ev routing problem,preference-based vehicle routing,learning (artificial intelligence)
disaster logistics,multi-criteria optimization,hybrid pso and alns metaheuristics
multi-trip capacitated arc routing problem,multi-objective problem,fuzzy goal programming model
rich routing problems,decision making process,hybrid ant colony optimization
vehicle routing software selection,hierarchical decision making,fuzzy delphi
evacuation routing,decision support tool,fuzzy logic
hybrid vehicle-drone routing,multiple attribute decision making,hybrid meta-heuristic algorithm
capacitated vehicle location-routing problem,patient preference satisfaction,hybrid model
distribution,decision tree,fuzzy time windows
vehicle routing software,multi objective programming,hyper-heuristics
aircraft routing problem,technique for order preference by similarity to ideal solution (topsis),heuristic
distribution network design,sequential decision-making problem,data-driven delivery
preference-based vehicle routing,decision-focused learning,hybrid fuzzy c-means (hfcm)
particle routing,multi-objective optimization,online learning
multi-objective problem,multicriteria decision,fuzzy electre i
heterogeneous fleet vehicle routing problem,multi criteria decision making,explainable artificial intelligence
collaborative feeder vehicle routing problem,knowledge-based optimization,fuzzy numbers
energy-aware routing,weighted multi-attribute user preference,hybrid heuristic algorithm
intermodal routing,real-time decision making,hybrid energy replenishment mode
medical logistics networks,semi-markov decision process,hybrid heuristics
routing problem,multi-objective evolutionary algorithm based on decomposition,fuzzy hybrid meta-heuristic algorithms
