id,abstract,authorships.author.display_name,authorships.author.id,authorships.author.orcid,authorships.countries,authorships.institutions.display_name,authorships.institutions.id,authorships.is_corresponding,best_oa_location.license,cited_by_count,corresponding_institution_ids,display_name,doi,funders.display_name,fwci,ids.pmid,is_retracted,language,open_access.is_oa,open_access.oa_status,primary_location.source.display_name,primary_location.source.id,primary_location.source.issn_l,primary_location.source.type,primary_topic.display_name,publication_date,publication_year,type
https://openalex.org/W2070911198,,Yanfang Ma|Jiuping Xu,https://openalex.org/A5100909062|https://openalex.org/A5100691507,|https://orcid.org/0000-0003-3756-3969,CN|CN,Sichuan University|Sichuan University|State Key Laboratory of Hydraulics and Mountain River Engineering,https://openalex.org/I24185976|https://openalex.org/I24185976|https://openalex.org/I4391767678,False|True,,24,https://openalex.org/I24185976|https://openalex.org/I4391767678,A cloud theory-based particle swarm optimization for multiple decision maker vehicle routing problems with fuzzy random time windows,https://doi.org/10.1080/0305215x.2014.928815,National Natural Science Foundation of China,6.53976771,,False,en,False,closed,Engineering Optimization,https://openalex.org/S139857051,0305-215X,journal,Vehicle Routing Optimization Methods,2014-06-30,2014,article
https://openalex.org/W4211132698,,Merve Cengiz Toklu,https://openalex.org/A5067026110,https://orcid.org/0000-0001-9609-5136,TR,Sakarya University,https://openalex.org/I103703290,True,,25,https://openalex.org/I103703290,A fuzzy multi-criteria approach based on Clarke and Wright savings algorithm for vehicle routing problem in humanitarian aid distribution,https://doi.org/10.1007/s10845-022-01917-0,,6.40922692,,False,en,False,closed,Journal of Intelligent Manufacturing,https://openalex.org/S161464388,0956-5515,journal,Facility Location and Emergency Management,2022-02-11,2022,article
https://openalex.org/W2999440819,,Sadia Samar Ali|Turan Paksoy|Belkız Torğul|Rajbir Kaur,https://openalex.org/A5073413581|https://openalex.org/A5044986871|https://openalex.org/A5088260635|https://openalex.org/A5015303455,https://orcid.org/0000-0003-4911-5725|https://orcid.org/0000-0001-8051-8560|https://orcid.org/0000-0002-7341-9334|https://orcid.org/0000-0003-1433-1065,|||,,,True|False|False|False,,77,,Reverse logistics optimization of an industrial air conditioner manufacturing company for designing sustainable supply chain: a fuzzy hybrid multi-criteria decision-making approach,https://doi.org/10.1007/s11276-019-02246-6,,10.42205033,,False,en,False,closed,Wireless Networks,https://openalex.org/S205498627,1022-0038,journal,Sustainable Supply Chain Management,2020-01-11,2020,article
https://openalex.org/W2254975279,,Yanfang Ma|Jiuping Xu,https://openalex.org/A5100909062|https://openalex.org/A5100691507,|https://orcid.org/0000-0003-3756-3969,|,,,True|False,,12,,Vehicle routing problem with multiple decision-makers for construction material transportation in a fuzzy random environment,,,2.97262168,,False,en,False,closed,,,,,Advanced Manufacturing and Logistics Optimization,2014-06-10,2014,article
https://openalex.org/W854438218,,Fatemeh Torfi|Reza Zanjirani Farahani|Iraj Mahdavi,https://openalex.org/A5005736969|https://openalex.org/A5044837172|https://openalex.org/A5087753439,|https://orcid.org/0000-0002-7383-4714|https://orcid.org/0000-0001-5123-6169,IR|GB|IR,Mazandaran University of Science and Technology|Islamic Azad University Semnan|Kingston University|Mazandaran University of Science and Technology,https://openalex.org/I123173325|https://openalex.org/I4210104301|https://openalex.org/I205051169|https://openalex.org/I123173325,False|False|True,,27,https://openalex.org/I123173325,Fuzzy MCDM for weight of object’s phrase in location routing problem,https://doi.org/10.1016/j.apm.2015.06.001,,5.69532078,,False,en,False,closed,Applied Mathematical Modelling,https://openalex.org/S153281200,0307-904X,journal,Multi-Criteria Decision Making,2015-07-04,2015,article
https://openalex.org/W2090322985,"This paper presents a decision support system for the optimization of long distance freight transport by road in the Iberian Peninsula (Spain and Portugal) between several origins and destinations without warehouses at the origin and the final destination. In every order, there is at least one origin and one destination, and these two positions do not need to coincide with other origin/destination pairs for different orders. This can be considered to be a many-to-many type problem, where the freight is picked up at different customer locations and delivered in other client locations. The aim of the system described consists of helping traffic managers of freight transport companies to reduce operational costs by optimizing the loading of freight in vehicles, optimizing routes and grouping orders following certain load/unload procedures in such a way that pick-up and delivery activities can be previously planned. For the resolution of the problem, it is proposed an algorithm based on ant optimization techniques which has allowed the system to be modeled taking into account its most characteristic peculiarities: no depots at the beginning and end of the route, a maximum driving time per day, the capacity of vehicles, the compatibility of types of goods in the same vehicle, customers with time windows to pickup/deliver goods, and the manner of loading/unloading vehicles (Last Input First Output). The effectiveness of the algorithm has been proved using data from real problems. The basis of our computational experiments is the historical data from a large transport company in the Iberian Peninsula.",Juan Antonio Sicilia Montalvo|Beatriz Royo|Emilio Larrodé|Alberto Fraile,https://openalex.org/A5084194142|https://openalex.org/A5068884852|https://openalex.org/A5068168573|https://openalex.org/A5081342790,https://orcid.org/0000-0002-5962-4147|https://orcid.org/0000-0001-8208-716X|https://orcid.org/0000-0002-5857-8003|https://orcid.org/0000-0001-9861-0728,ES|ES|ES|ES,Universidad de Zaragoza|Universidad de Zaragoza|Universidad de Zaragoza|Universidad de Zaragoza,https://openalex.org/I255234318|https://openalex.org/I255234318|https://openalex.org/I255234318|https://openalex.org/I255234318,False|False|False|True,cc-by-nc-nd,12,https://openalex.org/I255234318,A Decision Support System for a Long-distance Routing Problem based on the Ant Colony Optimization Metaheuristic,https://doi.org/10.1016/j.sbspro.2014.01.138,,1.78357301,,False,en,True,diamond,Procedia - Social and Behavioral Sciences,https://openalex.org/S104917558,1877-0428,journal,Vehicle Routing Optimization Methods,2014-02-01,2014,article
https://openalex.org/W3186940976,,Fatma Demircan Keskin,https://openalex.org/A5041568434,https://orcid.org/0000-0002-7000-4731,TR,Ege University,https://openalex.org/I41641357,True,,1,https://openalex.org/I41641357,Multi-Criteria Decision Making With Machine Learning for Vehicle Routing Problem,https://doi.org/10.4018/978-1-7998-8040-0.ch011,,0.61281002,,False,en,False,closed,"Advances in logistics, operations, and management science book series",https://openalex.org/S4210223929,2327-350X,book series,Vehicle Routing Optimization Methods,2021-01-01,2021,book-chapter
https://openalex.org/W2019206043,,Heung-Suk Hwang|Bae-Suk Choi|Kiwook Lee|Gyu-Sung Cho,https://openalex.org/A5112030873|https://openalex.org/A5029536336|https://openalex.org/A5031249207|https://openalex.org/A5026925767,||https://orcid.org/0000-0003-0720-6012|https://orcid.org/0000-0002-1289-4908,KR|KR|KR|KR,Tongmyong University|Tongmyong University|Tongmyong University|Tongmyong University,https://openalex.org/I4210104306|https://openalex.org/I4210104306|https://openalex.org/I4210104306|https://openalex.org/I4210104306,True|False|False|False,,4,https://openalex.org/I4210104306,Supply Center Planning Model Using Fuzzy-AHP and VRP,https://doi.org/10.1109/icicic.2008.529,,0.77282498,,False,en,False,closed,,,,,Vehicle Routing Optimization Methods,2008-01-01,2008,article
https://openalex.org/W4224138275,,Weixu Pan|Shi Qiang Liu,https://openalex.org/A5023194872|https://openalex.org/A5048616343,|https://orcid.org/0000-0002-2370-5519,CN|CN,Fuzhou University|Fuzhou University,https://openalex.org/I80947539|https://openalex.org/I80947539,True|False,,120,https://openalex.org/I80947539,Deep reinforcement learning for the dynamic and uncertain vehicle routing problem,https://doi.org/10.1007/s10489-022-03456-w,National Natural Science Foundation of China,11.3949084,,False,en,False,closed,Applied Intelligence,https://openalex.org/S74726891,0924-669X,journal,Transportation and Mobility Innovations,2022-04-18,2022,article
https://openalex.org/W4411338456,"The impact of alternative distribution channels, such as bank Automated Teller Machines (ATMs), on the financial industry is growing due to technological advancements. Investing in ideal locations is critical for new ATM companies. Due to the many factors to be evaluated, this study addresses the problem of determining the best location for ATMs to be deployed in Istanbul districts by utilizing the multi-criteria decision-making framework. Furthermore, the advantages of fuzzy logic are used to convert expert opinions into mathematical expressions and incorporate them into decision-making processes. For the first time in the literature, a model has been proposed for ATM location selection, integrating clustering and the interval-valued Fermatean fuzzy analytic hierarchy process (IVFF-AHP). With the proposed methodology, the districts of Istanbul are first clustered to find the risky ones. Then, the most suitable alternative location in this district is determined using IVFF-AHP. After deciding the ATM locations with IVFF-AHP, in the last step, a Double Deep Q-Network Reinforcement Learning model is used to optimize the Cash in Transit (CIT) vehicle route. The study results reveal that the proposed approach provides stable, efficient, and adaptive routing for real-world CIT operations.",Bahar Yalçın Kavuş|Kübra Yazıcı|Alev Taşkın Gümüş|Tolga Kudret Karaca,https://openalex.org/A5022659480|https://openalex.org/A5101421712|https://openalex.org/A5023757814|https://openalex.org/A5036944001,https://orcid.org/0000-0001-5295-1631|https://orcid.org/0000-0003-4187-3871|https://orcid.org/0000-0003-1803-9408|https://orcid.org/0000-0001-5562-6367,TR|TR|AZ|TR|TR,Yıldız Technical University|Izmir Kâtip Çelebi University|Türkisch-Deutsche Universität|Yıldız Technical University|Yıldız Technical University|Azerbaijan State University of Economics|Istanbul University,https://openalex.org/I4101805|https://openalex.org/I250383648|https://openalex.org/I4210101260|https://openalex.org/I4101805|https://openalex.org/I4101805|https://openalex.org/I4210086371|https://openalex.org/I67581229,False|False|False|True,cc-by,1,https://openalex.org/I67581229,A Hybrid IVFF-AHP and Deep Reinforcement Learning Framework for an ATM Location and Routing Problem,https://doi.org/10.3390/app15126747,,5.16502407,,False,en,True,gold,Applied Sciences,https://openalex.org/S4210205812,2076-3417,journal,Optimization and Search Problems,2025-06-16,2025,article
